örnek	tohum	madde_no	madde_başı	doğru	not
1	20260926	1194	ellig	1	
1	20260926	759	akru:	1	
1	20260926	259	ačın-	1	
1	20260926	3752	čalpašlan-	1	
1	20260926	8283	yığač	0	sonraki madde (yoğu:č) aynı paragrafta; anlam/tanık ona ait
1	20260926	3028	bulaŋ	1	
1	20260926	591	utru:lan-	1	taban 'utru' (uzunluk işareti düştü)
1	20260926	1887	örük	1	
1	20260926	6084	kıšğun	1	
1	20260926	8115	yuban-	1	
1	20260926	4040	tapıš	1	taban düzeltmeden önce 'mutuality' idi; 'fr.' önceliği ile tap-
1	20260926	3697	čöke:	1	
1	20260926	2107	asığlığ	1	
1	20260926	6699	ker	1	
1	20260926	861	ige	1	
1	20260926	5076	tušuš-	1	
1	20260926	8903	yarlıkančsız	0	önek OCR'da düşmüş, taban alınmadı (sonra düzeltildi)
1	20260926	3294	bastur-	1	
1	20260926	7391	suki:-	1	
1	20260926	2673	bitigči:	1	
1	20260926	3167	bürčeklen-	1	
1	20260926	2043	erseglen-	1	
1	20260926	8588	yalındak	1	
1	20260926	5292	kavšut	1	
1	20260926	5652	kılıš-	1	
1	20260926	4112	todğur-	1	
1	20260926	3912	čıydam	1	gloss_tw doğru; ilk tırnak modern anlam
1	20260926	5507	kakač	1	
1	20260926	221	ičgerü:	1	
1	20260926	6937	kezger-	1	
2	7	5305	kopuz	1	
2	7	2471	uza:-	1	
2	7	6468	kik-	1	
2	7	791	oğrı:lık	1	
2	7	1186	alakir-	1	
2	7	8779	yaŋra:-	1	
2	7	1542	ına:ğ	1	
2	7	5991	karınlığ	1	
2	7	950	öglentür-	1	
2	7	8313	yağıl-	1	
2	7	3517	čawga:n	0	F önekli gönderme okunmadı (sonra düzeltildi)
2	7	614	adıš-	1	
2	7	1408	amšu:	1	
2	7	7104	muyğa:	1	
2	7	6851	kesmelig	1	
2	7	1144	olturum	1	
2	7	3943	tapča:n	0	anlam: tırnak içi kesme işareti yüzünden sonraki tırnak alındı (sonra düzeltildi)
2	7	1486	oŋu:jin	1	
2	7	9028	yaytur-	1	
2	7	6955	kizleš-	1	
2	7	968	ögünč	1	
2	7	2028	irintür-	1	
2	7	3657	čıkra:-	1	
2	7	1013	egrilik	0	'fr' noktasız, taban alınmadı (sonra düzeltildi)
2	7	6499	kekre:	1	
2	7	812	oxsin-	1	
2	7	3622	čığla:-	1	
2	7	763	uğra:ğ	1	
2	7	2181	esirgenčsiz	0	'fr. an unrecorded … fr. X' taban alınmadı (sonra düzeltildi)
2	7	4744	teŋrilik	1	
3	11	7411	sığıtsız	1	düzeltmelerden sonra, bakılmamış örnek
3	11	7629	simle:-	1	
3	11	7402	sığtat-	1	
3	11	8320	yığla:-	1	
3	11	3111	binil-	1	
3	11	3025	bilimsin-	1	
3	11	8387	yakıš-	1	
3	11	7794	sürtür-	1	
3	11	3050	buluš-	1	
3	11	1542	ına:ğ	1	
3	11	7316	sidit-	1	
3	11	4970	tarus	1	
3	11	2323	ašsa:-	1	
3	11	1485	ančulayu:	1	
3	11	8825	yarat-	1	
3	11	686	ağtar-	1	
3	11	6490	kökleš-	1	
3	11	7421	saka:l	1	
3	11	2580	bıčak	1	
3	11	245	üjme:	1	
3	11	8656	yumurtğa:	1	
3	11	1034	egsüt-	1	
3	11	975	ökünčlüğ	1	
3	11	584	ederlik	1	
3	11	3116	beŋlen-	1	
3	11	3963	toplu:	1	
3	11	492	etmeklen-	1	
3	11	7601	sö:llüg	1	
3	11	5345	kačan	1	
3	11	7217	savlaš-	1	
