donor	word	etymon	karar	not
fr	glikoz	glycose	doğru	
fr	klostrofobi	claustrophobie	doğru	
it	karyola	carriola	doğru	
it	boci	poggia	doğru	
fr	agresyon	agression	doğru	
fr	empotans	impotence	doğru	
it	piyasa	piasa	doğru	
fr	erbiyum	erbium	doğru	
fr	akrobatik	acrobatique	doğru	
fr	vajina	vagin	şüpheli	şüpheli: -a Latince vagina/İt vagina gösterir; Wiktionary Fr vagin
fr	pantolon	pantalon	şüpheli	şüpheli: Nişanyan İt pantalone de anar
it	madalya	medaglia	doğru	
it	manika	manica	doğru	
fr	faşist	fasciste	doğru	
it	villa	villa	doğru	
it	fırtına	fortuna	doğru	
it	baston	bastón	doğru	
fr	zigot	zygote	doğru	
it	çımariva	ciama arriva	doğru	
it	bezelye	pisello, bisello	şüpheli	şüpheli: Rumca bizélli aracılığı olası (İt kökenli)
fr	anestezi	anesthésie	doğru	
fr	deformasyon	déformation	doğru	
it	alarga	largo	doğru	
it	taraça	terrazza	doğru	
it	kırlent	ghirlanda	doğru	
fr	peyzaj	paysage	doğru	
it	göğe	cocca	doğru	
fr	pert	perte	doğru	
fr	ekinoks	équinoxe	doğru	
fr	kafe	café	doğru	
