id,label,stage,verdict,note
alt:история,alıntı,1,doğru,
alt:албаты,alıntı,1,doğru,
alt:кеден,alıntı,1,doğru,
alt:киске,alıntı,1,doğru,alıntı kabul (Rusça кошка/кис-кис); verici kesin değil
alt:мамук,alıntı,1,doğru,
alt:сыр,alıntı,1,doğru,
alt:оток,alıntı,1,doğru,
alt:бојо,alıntı,1,doğru,
alt:тура,alıntı,1,yanlış,"Altayca тура 'ev' genelde Türkçe *tura (Eski Türkçe tura 'kale, yerleşim'); Orta Rusça тура 'kule' kaynağı tartışmalı"
alt:черт,alıntı,1,doğru,
alt:байда,alıntı,1,doğru,
alt:чикир,alıntı,1,doğru,
alt:калта,alıntı,1,doğru,
alt:солтон,alıntı,1,doğru,
alt:бичик,alıntı,1,doğru,
alt:шайтан,alıntı,1,doğru,
alt:моркоп,alıntı,1,doğru,
alt:безгек,alıntı,1,yanlış,metinde çekince ('Or from … Proto-Turkic *bẹŕ-'); HEDGE süzgeci 'Or from'u yakalamıyor; Türkçe köken daha yaygın görüş
alt:туулга,alıntı,1,doğru,
alt:таајы,alıntı,1,doğru,
alt:сур,miras,1,doğru,
alt:балтыр,miras,1,doğru,
alt:улак,miras,1,doğru,
alt:кабак,miras,1,doğru,
alt:бургуш,miras,1,doğru,
alt:иженер,miras,1,doğru,
alt:јаҥыс,miras,1,doğru,
alt:башмак,miras,1,doğru,
alt:быштак,miras,1,doğru,
alt:чабак,miras,1,doğru,
alt:чымалы,miras,1,doğru,
alt:кап,miras,1,doğru,
alt:јудрук,miras,1,doğru,
alt:куру,miras,1,doğru,
alt:эҥзе,miras,1,doğru,
alt:каду,miras,1,doğru,
alt:кого,miras,1,doğru,
alt:мааны,miras,1,doğru,
alt:јакшы,miras,1,doğru,
alt:сайын,miras,1,doğru,
az:damba,alıntı,1,doğru,
az:kal,alıntı,1,doğru,
az:proletariat,alıntı,1,doğru,
az:maddi,alıntı,1,doğru,
az:qəbir,alıntı,1,doğru,
az:hekayət,alıntı,1,doğru,
az:dəxil,alıntı,1,doğru,
az:həngamə,alıntı,1,doğru,
az:qəsd,alıntı,1,doğru,
az:fəqərə,alıntı,1,doğru,
az:zillət,alıntı,1,doğru,
az:kam,alıntı,1,doğru,
az:icma,alıntı,1,doğru,
az:rüşvət,alıntı,1,doğru,
az:məsih,alıntı,1,doğru,
az:ifraz,alıntı,1,doğru,
az:lacivərd,alıntı,1,doğru,
az:rəqqas,alıntı,1,doğru,
az:səfir,alıntı,1,doğru,
az:buxur,alıntı,1,doğru,
az:diri,miras,1,doğru,
az:qartal,miras,1,doğru,
az:çağa,miras,1,doğru,
az:ova,miras,1,doğru,
az:ummaq,miras,1,doğru,
az:yapmaq,miras,1,doğru,
az:bəy,miras,1,doğru,
az:iraq,miras,1,doğru,
az:gənc,miras,1,doğru,
az:qor,miras,1,doğru,
az:böyümək,miras,1,doğru,
az:qoxu,miras,1,doğru,
az:tısbağa,miras,1,doğru,
az:saxlamaq,miras,1,doğru,
az:keçə,miras,1,doğru,
az:ərən,miras,1,doğru,
az:qul,miras,1,doğru,
az:yavan,miras,1,doğru,
az:sağsağan,miras,1,doğru,
az:çay,miras,1,doğru,
crh:şok,alıntı,1,doğru,
crh:effekt,alıntı,1,doğru,
crh:eziyet,alıntı,1,doğru,
crh:inayet,alıntı,1,doğru,
crh:kurort,alıntı,1,doğru,
crh:kotlet,alıntı,1,doğru,alıntı doğru; verici büyük olasılıkla Rusça котлета aracılı (verici etiketi şüpheli)
crh:alât,alıntı,1,doğru,
crh:geologiya,alıntı,1,doğru,
crh:ziya,alıntı,1,doğru,
crh:furun,alıntı,1,doğru,
crh:mehanizm,alıntı,1,doğru,
crh:fortepyano,alıntı,1,doğru,
crh:gorn,alıntı,1,doğru,
crh:galliy,alıntı,1,doğru,
crh:felyeton,alıntı,1,doğru,
crh:seans,alıntı,1,doğru,
crh:sanitar,alıntı,1,doğru,
crh:fuqare,alıntı,1,doğru,
crh:federatsiya,alıntı,1,doğru,
crh:uniya,alıntı,1,doğru,
crh:kezmek,miras,1,doğru,
crh:omuz,miras,1,doğru,
crh:buzav,miras,1,doğru,
crh:körük,miras,1,doğru,
crh:yürmek,miras,1,doğru,
crh:qarı,miras,1,doğru,
crh:quvanç,miras,1,doğru,
crh:yapalaq,miras,1,doğru,
crh:küneş,miras,1,doğru,
crh:öksüz,miras,1,doğru,
crh:tobuq,miras,1,doğru,
crh:ucuz,miras,1,doğru,
crh:savrı,miras,1,doğru,
crh:tuman,miras,1,doğru,
crh:boya,miras,1,doğru,
crh:üşümek,miras,1,doğru,
crh:terek,miras,1,doğru,
crh:qayırmaq,miras,1,doğru,
crh:yummaq,miras,1,doğru,
crh:kiyiz,miras,1,doğru,
gag:pırjola,alıntı,1,doğru,
gag:ofițial,alıntı,1,doğru,
gag:kapkan,alıntı,1,doğru,"Rusçadan alıntı, Rusça kaynak Türkçe (geri dönen alıntı); etiket tanımına göre doğru"
gag:mozak,alıntı,1,doğru,
gag:kufnä,alıntı,1,doğru,
gag:yortu,alıntı,1,doğru,
gag:hendek,alıntı,1,doğru,
gag:şösä,alıntı,1,doğru,
gag:çotra,alıntı,1,doğru,
gag:eraplan,alıntı,1,doğru,
gag:naționalist,alıntı,1,doğru,
gag:poliglot,alıntı,1,doğru,
gag:vatra,alıntı,1,doğru,
gag:balta,alıntı,1,doğru,
gag:may,alıntı,1,doğru,
gag:prost,alıntı,1,doğru,
gag:zakon,alıntı,1,doğru,
gag:stavroz,alıntı,1,doğru,
gag:romın,alıntı,1,doğru,
gag:ţaţi,alıntı,1,doğru,
gag:uşak,miras,1,doğru,
gag:diimää,miras,1,doğru,
gag:nestä,miras,1,doğru,
gag:kazanç,miras,1,doğru,
gag:erli,miras,1,doğru,
gag:angı,miras,1,doğru,
gag:yannış,miras,1,doğru,
gag:keez,miras,1,doğru,
gag:süünmää,miras,1,doğru,
gag:aar,miras,1,doğru,
gag:engeç,miras,1,doğru,
gag:kapamaa,miras,1,doğru,
gag:savaşmaa,miras,1,doğru,
gag:ergen,miras,1,doğru,
gag:demää,miras,1,doğru,
gag:sıcak,miras,1,doğru,
gag:duan,miras,1,doğru,
gag:sän,miras,1,doğru,
gag:altı,miras,1,doğru,
gag:iyä,miras,1,doğru,
kum:аввал,alıntı,1,doğru,
kum:атлас,alıntı,1,doğru,
kum:администрация,alıntı,1,doğru,
kum:асар,alıntı,1,doğru,
kum:хыйлы,alıntı,1,doğru,
kum:абонент,alıntı,1,doğru,
kum:аста,alıntı,1,doğru,
kum:авиабомба,alıntı,1,doğru,
kum:анархия,alıntı,1,doğru,
kum:падеж,alıntı,1,doğru,
kum:уфукъ,alıntı,1,doğru,
kum:экзамен,alıntı,1,doğru,
kum:макъар,alıntı,1,doğru,
kum:авар,alıntı,1,doğru,
kum:аристократизм,alıntı,1,doğru,
kum:аванс,alıntı,1,doğru,
kum:ария,alıntı,1,doğru,
kum:ташкилат,alıntı,1,doğru,
kum:закон,alıntı,1,doğru,
kum:абур,alıntı,1,doğru,
kum:толу,miras,1,doğru,
kum:жийрен,miras,1,doğru,
kum:гюз,miras,1,doğru,
kum:эгиз,miras,1,doğru,
kum:дагъы,miras,1,doğru,
kum:оьпмек,miras,1,doğru,
kum:тырнакъ,miras,1,doğru,
kum:инек,miras,1,doğru,
kum:оьктем,miras,1,doğru,
kum:уьтмек,miras,1,doğru,
kum:чубукъ,miras,1,doğru,
kum:сарын,miras,1,doğru,
kum:экмек,miras,1,doğru,
kum:мююз,miras,1,doğru,
kum:савру,miras,1,doğru,
kum:сюйремек,miras,1,doğru,
kum:тарлав,miras,1,doğru,
kum:къаймакъ,miras,1,doğru,
kum:къан,miras,1,doğru,
kum:оьзенги,miras,1,doğru,
nog:почта,alıntı,1,doğru,
nog:быхы,alıntı,1,doğru,
nog:кемируьв,miras,1,doğru,
nog:булгав,miras,1,doğru,
nog:эмбек,miras,1,doğru,
nog:кармак,miras,1,doğru,
nog:елкен,miras,1,doğru,
nog:ойлав,miras,1,doğru,
nog:бояк,miras,1,doğru,
nog:токсан,miras,1,doğru,
nog:кийиз,miras,1,doğru,
nog:ийис,miras,1,doğru,
nog:аксак,miras,1,doğru,
nog:юмсак,miras,1,doğru,
nog:шыбык,miras,1,doğru,
nog:ябув,miras,1,doğru,
nog:буга,miras,1,doğru,
nog:сабан,miras,1,doğru,
nog:сан,miras,1,doğru,
nog:оклав,miras,1,doğru,
nog:елин,miras,1,doğru,
nog:киси,miras,1,doğru,
