# TETTL ayrıştırma denetimi — cilt başına 30 (hash sırası 9j-audit); ölçüt: başlık ve yakın verici dili doğru. LLM ön-etiketi (Claude), insan onayı yok.
cilt	sıra	başlık	verici	etimon	şüphe	karar	not
1	1	alagarson	fr	a	0	doğru	
1	2	barbata	it	barbetta	0	doğru	
1	3	bayat	ar	ba’lt	0	doğru	
1	4	bilaşübhe	ar	bila	0	doğru	
1	5	biyel	fr	bielle	0	doğru	
1	6	bartun	el	napdevıv/napdev	0	doğru	
1	7	biasib	fa	bive	0	doğru	
1	8	borda	el	mopra	0	doğru	
1	9	büvet	fr	buvette	0	doğru	
1	10	berhudar	fa	barhü-dar	0	doğru	
1	11	abdüsselâtin	ar	habb	0	doğru	
1	12	bedzindegäne	fa	bad-zindagani	0	doğru	
1	13	ähäd	ar	ahad	0	doğru	
1	14	bad	fa	bad	0	doğru	
1	15	blosfer	fr	biosphere	0	doğru	
1	16	beşriye	ar	??	0	doğru	
1	17	bucarda	it	bocciarda	0	doğru	
1	18	bombarda/mumbarda	it	bombarda	0	doğru	
1	19	bidireng	fa	bi-dirang	0	doğru	
1	20	avropsaro	el	appoywapo	0	doğru	
1	21	adaptasyon	fr	adaptation	0	doğru	
1	22	ansâr/ensâr	ar	ansar	0	doğru	
1	23	bidirhem	fa	bi-	0	doğru	
1	24	bayındır	fa	payanda	1	doğru	
1	25	bevä'is	ar	bawâ	0	doğru	
1	26	borlo	fr	brul€	1	doğru	
1	27	battih	ar	battih	0	doğru	
1	28	bini	el	rrnvvıvn	0	doğru	
1	29	ayna	fa	ayina	0	doğru	
1	30	ahil/ahıl	ar	ahil	0	doğru	
2	1	dretnot/diretnot/diretnavıt	en	dreadnought	0	doğru	
2	2	elektron	grc	nAzxTpov	0	doğru	
2	3	çilingir	fa	çilingar	1	doğru	
2	4	danişmend	fa	dânişmand	0	doğru	
2	5	cimlâ/çimla/cimlâs/zimnas	el	TÇıumAa	0	doğru	
2	6	el-aman/elaman	ar	al-	0	doğru	
2	7	cübn/cübün	ar	cubn	0	doğru	
2	8	cihandar	fa	cihan-dar	0	doğru	
2	9	ehval	ar	ahwal	0	doğru	
2	10	dahi/dahil	ar	dahl	0	yanlış	başlık OCR (dahl)
2	11	çare	fa	çara	0	doğru	
2	12	cille	ar	cilla/culla	0	doğru	
2	13	eskrim	fr	escrime	0	doğru	
2	14	defans	fr	défense	0	doğru	
2	15	da'veti	fa	*da	0	doğru	
2	16	diskalifiye	fr	disqualifi€	0	doğru	
2	17	delalet	ar	dalala	0	doğru	
2	18	erz	ar	arz	1	doğru	
2	19	caral/çaral	ar	caral	0	doğru	
2	20	düşembe	fa	du-şanbah/du-şambah	0	doğru	
2	21	çamariva/çımariva	it	ciama	0	doğru	
2	22	dama	it	veya	0	doğru	
2	23	ehliyet	ar	ahliya	0	doğru	
2	24	çete	el	øayırra	0	doğru	
2	25	cihan	fa	cahan/cihan	0	doğru	
2	26	dergâh	fa	dargah	0	doğru	
2	27	esrar	ar	asrar	0	doğru	
2	28	çor	fa	şör	0	doğru	
2	29	çukundur/çükündür	fa	çuğundur	0	doğru	
2	30	çifte	fa	cifta/cufta	0	doğru	
3	1	hüş	fa	hüş	0	doğru	
3	2	filtre/filitre	fr	filtre	0	doğru	
3	3	firye	ar	firya	0	doğru	
3	4	hemeteşe	el	aiu&rWoıç	0	doğru	
3	5	feza	ar	faza	0	doğru	
3	6	herek	el	yapdkı	0	doğru	
3	7	fors	fr	force	1	doğru	
