id,label,verdict,note
atv:гӱрӧнъ,alıntı,doğru,
atv:найыджы,alıntı,doğru,
atv:караал,alıntı,doğru,
atv:время,alıntı,doğru,
atv:арбакчы,alıntı,doğru,
atv:кӱлер,alıntı,doğru,
atv:ньаан,alıntı,doğru,
atv:ньон,alıntı,doğru,
atv:торго,alıntı,doğru,
atv:калбак,alıntı,doğru,
atv:алка,alıntı,doğru,
atv:власть,alıntı,doğru,
atv:солай,alıntı,doğru,
atv:гость,alıntı,doğru,
atv:чажын,alıntı,doğru,
atv:кошке,alıntı,doğru,
atv:шикир,alıntı,doğru,
atv:талай,alıntı,doğru,
atv:тоо,alıntı,doğru,
atv:кий,alıntı,doğru,
atv:йебирерге,miras,doğru,
atv:одузунджы,miras,doğru,
atv:чӱзинджи,miras,doğru,
atv:тӧртинджи,miras,doğru,
atv:чӧрджек,miras,doğru,
atv:йараш,miras,doğru,
atv:ньоон,miras,doğru,
atv:экинджи,miras,doğru,
atv:чымчак,miras,doğru,
atv:тогызынджы,miras,doğru,
atv:шеден,miras,doğru,
atv:паас,miras,doğru,
atv:тӱгӱн,miras,doğru,
atv:кырыгынджы,miras,doğru,
atv:уджук,miras,doğru,
atv:кола,miras,doğru,
atv:тазыл,miras,doğru,
atv:карлыг,miras,doğru,
atv:тӧнъеш,miras,doğru,
atv:элигинджи,miras,doğru,
cv:акак,alıntı,doğru,
cv:этем,alıntı,doğru,
cv:кӗреҫе,alıntı,doğru,
cv:ҫемье,alıntı,doğru,
cv:авӑн,alıntı,doğru,
cv:сала,alıntı,doğru,
cv:ватӑ,alıntı,belirsiz,Moğolca kaynak zayıf (yalnız 'compare')
cv:служащи,alıntı,doğru,
cv:кекс,alıntı,doğru,
cv:йӗпкӗн,alıntı,yanlış,verici Kumanca (Türk dili) — yabancı alıntı değil
cv:шоколад,alıntı,doğru,
cv:рабочи,alıntı,doğru,
cv:апат,alıntı,doğru,
cv:кӗнеке,alıntı,doğru,
cv:тестостерон,alıntı,doğru,
cv:хваттер,alıntı,doğru,
cv:хресчен,alıntı,doğru,
cv:сӑмса,alıntı,doğru,
cv:авал,alıntı,doğru,
cv:сахӑр,alıntı,doğru,
cv:хӗрӗ,miras,doğru,
cv:кӗҫӗ,miras,doğru,
cv:хӑш,miras,doğru,
cv:ҫурта,miras,doğru,
cv:ҫулӑх,miras,doğru,
cv:пӗтӳ,miras,doğru,
cv:лар,miras,doğru,
cv:йӗке,miras,doğru,
cv:ҫурла,miras,doğru,
cv:япӑх,miras,doğru,
cv:вӗлер,miras,doğru,
cv:хӗрт,miras,doğru,
cv:валак,miras,doğru,
cv:ҫухал,miras,doğru,
cv:пӗҫер,miras,doğru,
cv:валеҫ,miras,doğru,
cv:ара,miras,doğru,
cv:ҫурӑк,miras,doğru,
cv:ҫӑмха,miras,doğru,
cv:ҫураҫ,miras,doğru,
klj:bil,alıntı,doğru,
klj:çân,alıntı,doğru,
klj:pâyîz,alıntı,doğru,
klj:zuğâl,alıntı,doğru,
klj:əmmâ,alıntı,doğru,
klj:çâna,alıntı,doğru,
klj:bəbr,alıntı,doğru,
klj:dovra,alıntı,doğru,
klj:xazâna,alıntı,doğru,
klj:bara,alıntı,doğru,
klj:sîb,alıntı,doğru,
klj:âbəmbâr,alıntı,doğru,
klj:çarx,alıntı,doğru,
klj:kula,alıntı,doğru,
klj:yâd,alıntı,doğru,
klj:harra,alıntı,doğru,
klj:həmpâça,alıntı,doğru,
klj:âzâr,alıntı,doğru,
klj:aqîdə,alıntı,doğru,
klj:âyəndə,alıntı,doğru,
klj:târ,miras,doğru,
klj:bəlgülüg,miras,doğru,
klj:kişi,miras,doğru,
klj:harq,miras,doğru,
klj:irdək,miras,doğru,
klj:hikmək,miras,doğru,
klj:bulâq,miras,doğru,
klj:yilimək,miras,doğru,
klj:boğarsuq,miras,doğru,
klj:qômaq,miras,doğru,
klj:qarğu,miras,doğru,
klj:kissi,miras,doğru,
klj:holımaq,miras,doğru,
klj:bôyın,miras,doğru,
klj:hürün,miras,doğru,
klj:ışıq,miras,doğru,
klj:yıqmaq,miras,doğru,
klj:hâm,miras,doğru,
klj:tîrsək,miras,doğru,
klj:çamur,miras,doğru,
slq:cici,alıntı,doğru,
slq:fañvu,alıntı,doğru,
slq:vunhua,alıntı,doğru,
slq:onduq,alıntı,doğru,
slq:sunzı,alıntı,doğru,
slq:gulu,alıntı,doğru,
slq:beñger,alıntı,doğru,
slq:şam,alıntı,doğru,
slq:hay,alıntı,doğru,
slq:siru,alıntı,belirsiz,Moğolca [Term?]; metin Türkçe serin ile ilişkilendiriyor
slq:loñxa,alıntı,doğru,
slq:yogo,alıntı,belirsiz,Çince 有个 'herkes' anlamı şüpheli
slq:carığusı,alıntı,doğru,
slq:mağla,alıntı,doğru,
slq:dumçuq,alıntı,belirsiz,Farsça tūn ~ dumçuq biçim uyumsuz; lehçe Türkçe tun ile ilişkili
slq:cida,alıntı,doğru,
slq:yarı,alıntı,doğru,
slq:muñısgarcaq,alıntı,doğru,
slq:çüven,alıntı,doğru,
slq:carıqçı,alıntı,doğru,
slq:yançuq,miras,doğru,
slq:yasuq,miras,doğru,
slq:yilik,miras,doğru,
slq:soğulcañ,miras,doğru,
slq:qurğusı,miras,doğru,
slq:keleğüsi,miras,doğru,
slq:eñer,miras,doğru,
slq:aruq,miras,doğru,
slq:qaynağusı,miras,doğru,
slq:çixgüsi,miras,doğru,
slq:manqusı,miras,doğru,
slq:zığağusı,miras,doğru,
slq:diñgüsi,miras,doğru,
slq:yumul,miras,doğru,
slq:qonaq,miras,doğru,
slq:solaq,miras,doğru,
slq:baldur,miras,doğru,
slq:oñağusı,miras,doğru,
slq:yul,miras,doğru,
slq:palçıq,miras,doğru,
